# Engine name: 
# Sat May 25 10:25:08 2019
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.3000    640.0000      0.0000      1.0000    666.5665   2941.3456     17.5091      1.1941      1.1894   1786.3032    269.8608    295.7207      1.5229      1.6619      0.9563 
     2.3000    650.0000      0.0000      1.0000    666.5665   2941.8579     17.5099      1.1942      1.1895   1786.6218    270.2921    296.0373      1.5251      1.6634      0.9564 
     2.3000    660.0000      0.0000      1.0000    666.5665   2942.3601     17.5107      1.1943      1.1897   1786.9353    270.7152    296.3481      1.5272      1.6649      0.9566 
     2.3000    670.0000      0.0000      1.0000    666.5665   2942.8523     17.5115      1.1945      1.1898   1787.2438    271.1304    296.6535      1.5292      1.6664      0.9567 
     2.3000    680.0000      0.0000      1.0000    666.5665   2943.3351     17.5123      1.1946      1.1899   1787.5474    271.5382    296.9537      1.5312      1.6678      0.9568 
     2.3000    690.0000      0.0000      1.0000    666.5665   2943.8087     17.5131      1.1947      1.1901   1787.8464    271.9385    297.2486      1.5332      1.6692      0.9569 
     2.3000    700.0000      0.0000      1.0000    666.5665   2944.2734     17.5138      1.1948      1.1902   1788.1409    272.3316    297.5384      1.5351      1.6706      0.9571 
     2.3000    710.0000      0.0000      1.0000    666.5665   2944.7296     17.5146      1.1949      1.1904   1788.4309    272.7179    297.8235      1.5370      1.6719      0.9572 
     2.3000    720.0000      0.0000      1.0000    666.5665   2945.1773     17.5153      1.1950      1.1905   1788.7167    273.0974    298.1037      1.5389      1.6733      0.9573 
     2.3000    730.0000      0.0000      1.0000    666.5665   2945.6170     17.5160      1.1951      1.1906   1788.9983    273.4704    298.3794      1.5407      1.6746      0.9574 
     2.3000    740.0000      0.0000      1.0000    666.5665   2946.0489     17.5167      1.1952      1.1907   1789.2759    273.8370    298.6505      1.5425      1.6759      0.9575 
     2.3000    750.0000      0.0000      1.0000    666.5665   2946.4732     17.5174      1.1953      1.1909   1789.5496    274.1974    298.9173      1.5443      1.6771      0.9577 
     2.3000    760.0000      0.0000      1.0000    666.5665   2946.8901     17.5181      1.1954      1.1910   1789.8194    274.5519    299.1798      1.5461      1.6784      0.9578 
     2.3000    770.0000      0.0000      1.0000    666.5665   2947.2999     17.5187      1.1955      1.1911   1790.0855    274.9006    299.4382      1.5478      1.6796      0.9579 
     2.3000    780.0000      0.0000      1.0000    666.5665   2947.7028     17.5194      1.1956      1.1912   1790.3481    275.2437    299.6926      1.5495      1.6808      0.9580 
     2.3000    790.0000      0.0000      1.0000    666.5665   2948.0989     17.5200      1.1957      1.1914   1790.6070    275.5813    299.9432      1.5511      1.6820      0.9581 
     2.3000    800.0000      0.0000      1.0000    666.5665   2948.4885     17.5207      1.1958      1.1915   1790.8626    275.9138    300.1901      1.5528      1.6832      0.9582 
     2.3500    150.0000      0.0000      1.0000    670.3782   2927.8167     17.6338      1.1778      1.1683   1761.4852    221.1114    262.6485      1.2703      1.4934      0.9446 
     2.3500    160.0000      0.0000      1.0000    670.3782   2931.3098     17.6395      1.1783      1.1690   1763.0206    223.8455    264.4298      1.2845      1.5024      0.9451 
     2.3500    170.0000      0.0000      1.0000    670.3782   2934.5512     17.6448      1.1788      1.1697   1764.4552    226.3603    266.0810      1.2975      1.5108      0.9456 
     2.3500    180.0000      0.0000      1.0000    670.3782   2937.5717     17.6497      1.1793      1.1703   1765.8012    228.6881    267.6210      1.3095      1.5185      0.9460 
     2.3500    190.0000      0.0000      1.0000    670.3782   2940.3969     17.6543      1.1797      1.1709   1767.0686    230.8510    269.0611      1.3207      1.5258      0.9464 
     2.3500    200.0000      0.0000      1.0000    670.3782   2943.0482     17.6587      1.1801      1.1715   1768.2656    232.8679    270.4115      1.3311      1.5325      0.9469 
     2.3500    210.0000      0.0000      1.0000    670.3782   2945.5439     17.6628      1.1805      1.1720   1769.3996    234.7562    271.6826      1.3408      1.5389      0.9472 
     2.3500    220.0000      0.0000      1.0000    670.3782   2947.8996     17.6666      1.1809      1.1725   1770.4766    236.5309    272.8833      1.3499      1.5449      0.9476 
     2.3500    230.0000      0.0000      1.0000    670.3782   2950.1288     17.6703      1.1813      1.1730   1771.5019    238.2028    274.0195      1.3584      1.5505      0.9480 
     2.3500    240.0000      0.0000      1.0000    670.3782   2952.2429     17.6737      1.1816      1.1735   1772.4801    239.7823    275.0975      1.3665      1.5559      0.9483 
     2.3500    250.0000      0.0000      1.0000    670.3782   2954.2522     17.6770      1.1820      1.1739   1773.4152    241.2783    276.1224      1.3741      1.5610      0.9486 
     2.3500    260.0000      0.0000      1.0000    670.3782   2956.1656     17.6802      1.1823      1.1744   1774.3107    242.6991    277.0996      1.3813      1.5658      0.9490 
     2.3500    270.0000      0.0000      1.0000    670.3782   2957.9909     17.6832      1.1826      1.1748   1775.1699    244.0507    278.0324      1.3882      1.5704      0.9493 
     2.3500    280.0000      0.0000      1.0000    670.3782   2959.7351     17.6860      1.1829      1.1752   1775.9953    245.3388    278.9243      1.3948      1.5748      0.9496 
     2.3500    290.0000      0.0000      1.0000    670.3782   2961.4043     17.6888      1.1832      1.1756   1776.7896    246.5695    279.7792      1.4010      1.5790      0.9499 
     2.3500    300.0000      0.0000      1.0000    670.3782   2963.0041     17.6914      1.1835      1.1759   1777.5548    247.7470    280.5996      1.4070      1.5831      0.9501 
     2.3500    310.0000      0.0000      1.0000    670.3782   2964.5394     17.6939      1.1837      1.1763   1778.2930    248.8753    281.3881      1.4127      1.5869      0.9504 
     2.3500    320.0000      0.0000      1.0000    670.3782   2966.0147     17.6963      1.1840      1.1766   1779.0061    249.9577    282.1465      1.4181      1.5906      0.9507 
     2.3500    330.0000      0.0000      1.0000    670.3782   2967.4340     17.6987      1.1842      1.1769   1779.6955    250.9973    282.8765      1.4234      1.5942      0.9509 
     2.3500    340.0000      0.0000      1.0000    670.3782   2968.8009     17.7009      1.1845      1.1773   1780.3628    251.9970    283.5802      1.4284      1.5977      0.9512 
     2.3500    350.0000      0.0000      1.0000    670.3782   2970.1188     17.7031      1.1847      1.1776   1781.0093    252.9599    284.2595      1.4333      1.6010      0.9514 
     2.3500    360.0000      0.0000      1.0000    670.3782   2971.3908     17.7052      1.1850      1.1779   1781.6362    253.8888    284.9163      1.4379      1.6042      0.9516 
     2.3500    370.0000      0.0000      1.0000    670.3782   2972.6194     17.7072      1.1852      1.1782   1782.2446    254.7852    285.5516      1.4424      1.6073      0.9519 
     2.3500    380.0000      0.0000      1.0000    670.3782   2973.8074     17.7091      1.1854      1.1784   1782.8357    255.6511    286.1664      1.4468      1.6102      0.9521 
     2.3500    390.0000      0.0000      1.0000    670.3782   2974.9569     17.7110      1.1856      1.1787   1783.4103    256.4883    286.7619      1.4510      1.6131      0.9523 
     2.3500    400.0000      0.0000      1.0000    670.3782   2976.0702     17.7129      1.1858      1.1790   1783.9692    257.2984    287.3391      1.4550      1.6159      0.9525 
     2.3500    410.0000      0.0000      1.0000    670.3782   2977.1492     17.7146      1.1860      1.1793   1784.5134    258.0831    287.8992      1.4589      1.6186      0.9527 
     2.3500    420.0000      0.0000      1.0000    670.3782   2978.1957     17.7164      1.1862      1.1795   1785.0435    258.8438    288.4431      1.4627      1.6213      0.9529 
     2.3500    430.0000      0.0000      1.0000    670.3782   2979.2114     17.7180      1.1864      1.1797   1785.5602    259.5819    288.9717      1.4664      1.6238      0.9531 
     2.3500    440.0000      0.0000      1.0000    670.3782   2980.1978     17.7197      1.1866      1.1800   1786.0642    260.2984    289.4855      1.4700      1.6263      0.9533 
     2.3500    450.0000      0.0000      1.0000    670.3782   2981.1565     17.7212      1.1868      1.1802   1786.5560    260.9945    289.9855      1.4735      1.6287      0.9535 
     2.3500    460.0000      0.0000      1.0000    670.3782   2982.0887     17.7228      1.1869      1.1805   1787.0363    261.6713    290.4724      1.4768      1.6311      0.9537 
     2.3500    470.0000      0.0000      1.0000    670.3782   2982.9957     17.7243      1.1871      1.1807   1787.5055    262.3304    290.9474      1.4801      1.6334      0.9539 
     2.3500    480.0000      0.0000      1.0000    670.3782   2983.8786     17.7257      1.1873      1.1809   1787.9642    262.9720    291.4105      1.4833      1.6356      0.9540 
     2.3500    490.0000      0.0000      1.0000    670.3782   2984.7387     17.7271      1.1874      1.1811   1788.4127    263.5970    291.8622      1.4864      1.6377      0.9542 
     2.3500    500.0000      0.0000      1.0000    670.3782   2985.5768     17.7285      1.1876      1.1813   1788.8516    264.2061    292.3028      1.4894      1.6399      0.9544 
     2.3500    510.0000      0.0000      1.0000    670.3782   2986.3940     17.7299      1.1878      1.1815   1789.2811    264.7998    292.7330      1.4924      1.6419      0.9546 
     2.3500    520.0000      0.0000      1.0000    670.3782   2987.1911     17.7312      1.1879      1.1817   1789.7017    265.3791    293.1532      1.4952      1.6439      0.9547 
     2.3500    530.0000      0.0000      1.0000    670.3782   2987.9691     17.7325      1.1881      1.1819   1790.1138    265.9445    293.5638      1.4980      1.6459      0.9549 
     2.3500    540.0000      0.0000      1.0000    670.3782   2988.7286     17.7337      1.1882      1.1821   1790.5176    266.4966    293.9651      1.5008      1.6478      0.9550 
     2.3500    550.0000      0.0000      1.0000    670.3782   2989.4704     17.7349      1.1884      1.1823   1790.9136    267.0360    294.3577      1.5034      1.6497      0.9552 
     2.3500    560.0000      0.0000      1.0000    670.3782   2990.1954     17.7361      1.1885      1.1825   1791.3019    267.5631    294.7418      1.5060      1.6515      0.9554 
     2.3500    570.0000      0.0000      1.0000    670.3782   2990.9040     17.7373      1.1887      1.1827   1791.6828    268.0785    295.1177      1.5086      1.6533      0.9555 
     2.3500    580.0000      0.0000      1.0000    670.3782   2991.5969     17.7385      1.1888      1.1828   1792.0568    268.5826    295.4857      1.5111      1.6551      0.9557 
     2.3500    590.0000      0.0000      1.0000    670.3782   2992.2748     17.7396      1.1889      1.1830   1792.4238    269.0759    295.8462      1.5135      1.6568      0.9558 
     2.3500    600.0000      0.0000      1.0000    670.3782   2992.9382     17.7407      1.1891      1.1832   1792.7843    269.5589    296.1995      1.5159      1.6585      0.9559 
     2.3500    610.0000      0.0000      1.0000    670.3782   2993.5877     17.7417      1.1892      1.1833   1793.1385    270.0321    296.5461      1.5182      1.6601      0.9561 
     2.3500    620.0000      0.0000      1.0000    670.3782   2994.2236     17.7428      1.1893      1.1835   1793.4865    270.4957    296.8859      1.5205      1.6617      0.9562 
     2.3500    630.0000      0.0000      1.0000    670.3782   2994.8466     17.7438      1.1894      1.1837   1793.8286    270.9500    297.2193      1.5227      1.6633      0.9564 
     2.3500    640.0000      0.0000      1.0000    670.3782   2995.4571     17.7448      1.1896      1.1838   1794.1649    271.3953    297.5463      1.5249      1.6649      0.9565 
     2.3500    650.0000      0.0000      1.0000    670.3782   2996.0554     17.7458      1.1897      1.1840   1794.4957    271.8319    297.8673      1.5271      1.6664      0.9566 
     2.3500    660.0000      0.0000      1.0000    670.3782   2996.6421     17.7468      1.1898      1.1841   1794.8211    272.2603    298.1824      1.5292      1.6679      0.9567 
     2.3500    670.0000      0.0000      1.0000    670.3782   2997.2175     17.7477      1.1899      1.1843   1795.1413    272.6809    298.4921      1.5312      1.6693      0.9569 
